Episode 273/1000 | Score: 200 | Reward: -96.52 | Epsilon: 0.26
Episode 274/1000 | Score: 200 | Reward: -97.60 | Epsilon: 0.25
Episode 275/1000 | Score: 200 | Reward: -121.94 | Epsilon: 0.25
Episode 276/1000 | Score: 200 | Reward: -148.53 | Epsilon: 0.25
Episode 277/1000 | Score: 200 | Reward: -151.43 | Epsilon: 0.25
Episode 278/1000 | Score: 200 | Reward: -143.87 | Epsilon: 0.25
Episode 279/1000 | Score: 200 | Reward: -100.67 | Epsilon: 0.25
Episode 280/1000 | Score: 200 | Reward: -96.25 | Epsilon: 0.25
Episode 281/1000 | Score: 200 | Reward: -92.44 | Epsilon: 0.25
Episode 282/1000 | Score: 200 | Reward: -86.84 | Epsilon: 0.24
Episode 283/1000 | Score: 200 | Reward: -148.42 | Epsilon: 0.24
Episode 284/1000 | Score: 200 | Reward: -114.64 | Epsilon: 0.24
Episode 285/1000 | Score: 200 | Reward: -99.97 | Epsilon: 0.24
Episode 286/1000 | Score: 200 | Reward: -108.68 | Epsilon: 0.24
Episode 287/1000 | Score: 200 | Reward: -147.80 | Epsilon: 0.24
Episode 288/1000 | Score: 200 | Reward: -139.85 | Epsilon: 0.24
Episode 289/1000 | Score: 200 | Reward: -109.28 | Epsilon: 0.24
Episode 290/1000 | Score: 200 | Reward: -169.59 | Epsilon: 0.23
Episode 291/1000 | Score: 200 | Reward: -127.28 | Epsilon: 0.23
Episode 292/1000 | Score: 200 | Reward: -117.84 | Epsilon: 0.23
Episode 293/1000 | Score: 200 | Reward: -126.73 | Epsilon: 0.23
Episode 294/1000 | Score: 200 | Reward: -108.61 | Epsilon: 0.23
Episode 295/1000 | Score: 200 | Reward: -128.56 | Epsilon: 0.23
Episode 296/1000 | Score: 200 | Reward: -145.14 | Epsilon: 0.23
Episode 297/1000 | Score: 200 | Reward: -142.54 | Epsilon: 0.23
Episode 298/1000 | Score: 200 | Reward: -105.43 | Epsilon: 0.23
Episode 299/1000 | Score: 200 | Reward: -128.66 | Epsilon: 0.22
Episode 300/1000 | Score: 200 | Reward: -117.77 | Epsilon: 0.22
Episode 301/1000 | Score: 200 | Reward: -159.19 | Epsilon: 0.22
Episode 302/1000 | Score: 200 | Reward: -118.87 | Epsilon: 0.22
Episode 303/1000 | Score: 200 | Reward: -99.17 | Epsilon: 0.22
